kana,consonant,vowel,consonant_mono,vowel_mono
sp,sp,sp,sp,sp
ッ,sp,q,sp,q
ン,sp,N,sp,N
ア,sp,a,sp,a
アー,sp,a:,sp,a:
イ,sp,i,sp,i
イー,sp,i:,sp,i:
ウ,sp,u,sp,u
ウー,sp,u:,sp,u:
エ,sp,e,sp,e
エー,sp,e:,sp,e:
オ,sp,o,sp,o
オー,sp,o:,sp,o:
ウァ,w+a,w-a,w,a
ウァー,w+a,w-a:,w,a:
ウヮ,w+a,w-a,w,a
ウヮー,w+a,w-a:,w,a:
ウィ,w+i,w-i,w,i
ウィー,w+i,w-i:,w,i:
ウェ,w+e,w-e,w,e
ウェー,w+e,w-e:,w,e:
ウォ,w+o,w-o,w,o
ウォー,w+o,w-o:,w,o:
カ,k+a,k-a,k,a
カー,k+a,k-a:,k,a:
キ,k+i,k-i,k,i
キー,k+i,k-i:,k,i:
ク,k+u,k-u,k,u
クー,k+u,k-u:,k,u:
ケ,k+e,k-e,k,e
ケー,k+e,k-e:,k,e:
コ,k+o,k-o,k,o
コー,k+o,k-o:,k,o:
ガ,g+a,g-a,g,a
ガー,g+a,g-a:,g,a:
ギ,g+i,g-i,g,i
ギー,g+i,g-i:,g,i:
グ,g+u,g-u,g,u
グー,g+u,g-u:,g,u:
ゲ,g+e,g-e,g,e
ゲー,g+e,g-e:,g,e:
ゴ,g+o,g-o,g,o
ゴー,g+o,g-o:,g,o:
キャ,ky+a,y-a,ky,a
キャー,ky+a,y-a:,ky,a:
キュ,ky+u,y-u,ky,u
キュー,ky+u,y-u:,ky,u:
キェ,ky+e,y-e,ky,e
キェー,ky+e,y-e:,ky,e:
キョ,ky+o,y-o,ky,o
キョー,ky+o,y-o:,ky,o:
ギャ,gy+a,y-a,gy,a
ギャー,gy+a,y-a:,gy,a:
ギュ,gy+u,y-u,gy,u
ギュー,gy+u,y-u:,gy,u:
ギェ,gy+e,y-e,gy,e
ギェー,gy+e,y-e:,gy,e:
ギョ,gy+o,y-o,gy,o
ギョー,gy+o,y-o:,gy,o:
クァ,k+a,k-a,k,a
クァー,k+a,k-a:,k,a:
クヮ,k+a,k-a,k,a
クヮー,k+a,k-a:,k,a:
クィ,k+i,k-i,k,i
クィー,k+i,k-i:,k,i:
クェ,k+e,k-e,k,e
クェー,k+e,k-e:,k,e:
クォ,k+o,k-o,k,o
クォー,k+o,k-o:,k,o:
グァ,g+a,g-a,g,a
グァー,g+a,g-a:,g,a:
グヮ,g+a,g-a,g,a
グヮー,g+a,g-a:,g,a:
グィ,g+i,g-i,g,i
グィー,g+i,g-i:,g,i:
グェ,g+e,g-e,g,e
グェー,g+e,g-e:,g,e:
グォ,g+o,g-o,g,o
グォー,g+o,g-o:,g,o:
サ,s+a,s-a,s,a
サー,s+a,s-a:,s,a:
シ,sh+i,y-i,sh,i
シー,sh+i,y-i:,sh,i:
ス,s+u,s-u,s,u
スー,s+u,s-u:,s,u:
セ,s+e,s-e,s,e
セー,s+e,s-e:,s,e:
ソ,s+o,s-o,s,o
ソー,s+o,s-o:,s,o:
ザ,z+a,z-a,z,a
ザー,z+a,z-a:,z,a:
ジ,j+i,y-i,j,i
ジー,j+i,y-i:,j,i:
ズ,z+u,z-u,z,u
ズー,z+u,z-u:,z,u:
ゼ,z+e,z-e,z,e
ゼー,z+e,z-e:,z,e:
ゾ,z+o,z-o,z,o
ゾー,z+o,z-o:,z,o:
シャ,sh+a,y-a,sh,a
シャー,sh+a,y-a:,sh,a:
シュ,sh+u,y-u,sh,u
シュー,sh+u,y-u:,sh,u:
シェ,sh+e,y-e,sh,e
シェー,sh+e,y-e:,sh,e:
ショ,sh+o,y-o,sh,o
ショー,sh+o,y-o:,sh,o:
ジャ,j+a,y-a,j,a
ジャー,j+a,y-a:,j,a:
ジュ,j+u,y-u,j,u
ジュー,j+u,y-u:,j,u:
ジェ,j+e,y-e,j,e
ジェー,j+e,y-e:,j,e:
ジョ,j+o,y-o,j,o
ジョー,j+o,y-o:,j,o:
スァ,s+a,s-a,s,a
スァー,s+a,s-a:,s,a:
スヮ,s+a,s-a,s,a
スヮー,s+a,s-a:,s,a:
スィ,s+i,s-i,s,i
スィー,s+i,s-i:,s,i:
スェ,s+e,s-e,s,e
スェー,s+e,s-e:,s,e:
スォ,s+o,s-o,s,o
スォー,s+o,s-o:,s,o:
ズァ,z+a,z-a,z,a
ズァー,z+a,z-a:,z,a:
ズヮ,z+a,z-a,z,a
ズヮー,z+a,z-a:,z,a:
ズィ,z+i,z-i,z,i
ズィー,z+i,z-i:,z,i:
ズェ,z+e,z-e,z,e
ズェー,z+e,z-e:,z,e:
ズォ,z+o,z-o,z,o
ズォー,z+o,z-o:,z,o:
タ,t+a,t-a,t,a
ター,t+a,t-a:,t,a:
チ,ch+i,y-i,ch,i
チー,ch+i,y-i:,ch,i:
ツ,ts+u,s-u,ts,u
ツー,ts+u,s-u:,ts,u:
テ,t+e,t-e,t,e
テー,t+e,t-e:,t,e:
ト,t+o,t-o,t,o
トー,t+o,t-o:,t,o:
ダ,d+a,d-a,d,a
ダー,d+a,d-a:,d,a:
ヂ,d+i,d-i,d,i
ヂー,d+i,d-i:,d,i:
ヅ,d+u,d-u,d,u
ヅー,d+u,d-u:,d,u:
デ,d+e,d-e,d,e
デー,d+e,d-e:,d,e:
ド,d+o,d-o,d,o
ドー,d+o,d-o:,d,o:
チャ,ch+a,y-a,ch,a
チャー,ch+a,y-a:,ch,a:
チュ,ch+u,y-u,ch,u
チュー,ch+u,y-u:,ch,u:
チェ,ch+e,y-e,ch,e
チェー,ch+e,y-e:,ch,e:
チョ,ch+o,y-o,ch,o
チョー,ch+o,y-o:,ch,o:
ヂャ,dy+a,y-a,dy,a
ヂャー,dy+a,y-a:,dy,a:
ヂュ,dy+u,y-u,dy,u
ヂュー,dy+u,y-u:,dy,u:
ヂェ,dy+e,y-e,dy,e
ヂェー,dy+e,y-e:,dy,e:
ヂョ,dy+o,y-o,dy,o
ヂョー,dy+o,y-o:,dy,o:
ツァ,ts+a,s-a,ts,a
ツァー,ts+a,s-a:,ts,a:
ツヮ,ts+a,s-a,ts,a
ツヮー,ts+a,s-a:,ts,a:
ツィ,ts+i,s-i,ts,i
ツィー,ts+i,s-i:,ts,i:
ツェ,ts+e,s-e,ts,e
ツェー,ts+e,s-e:,ts,e:
ツォ,ts+o,s-o,ts,o
ツォー,ts+o,s-o:,ts,o:
ティ,t+i,t-i,t,i
ティー,t+i,t-i:,t,i:
テュ,t+u,t-u,t,u
テュー,t+u,t-u:,t,u:
トゥ,t+u,t-u,t,u
トゥー,t+u,t-u:,t,u:
ディ,d+i,d-i,d,i
ディー,d+i,d-i:,d,i:
デュ,d+u,d-u,d,u
デュー,d+u,d-u:,d,u:
ドゥ,d+u,d-u,d,u
ドゥー,d+u,d-u:,d,u:
ナ,n+a,n-a,n,a
ナー,n+a,n-a:,n,a:
ニ,n+i,n-i,n,i
ニー,n+i,n-i:,n,i:
ヌ,n+u,n-u,n,u
ヌー,n+u,n-u:,n,u:
ネ,n+e,n-e,n,e
ネー,n+e,n-e:,n,e:
ノ,n+o,n-o,n,o
ノー,n+o,n-o:,n,o:
ニャ,ny+a,y-a,ny,a
ニャー,ny+a,y-a:,ny,a:
ニュ,ny+u,y-u,ny,u
ニュー,ny+u,y-u:,ny,u:
ニェ,ny+e,y-e,ny,e
ニェー,ny+e,y-e:,ny,e:
ニョ,ny+o,y-o,ny,o
ニョー,ny+o,y-o:,ny,o:
ヌァ,n+a,n-a,n,a
ヌァー,n+a,n-a:,n,a:
ヌヮ,n+a,n-a,n,a
ヌヮー,n+a,n-a:,n,a:
ヌィ,n+i,n-i,n,i
ヌィー,n+i,n-i:,n,i:
ヌェ,n+e,n-e,n,e
ヌェー,n+e,n-e:,n,e:
ヌォ,n+o,n-o,n,o
ヌォー,n+o,n-o:,n,o:
ハ,h+a,h-a,h,a
ハー,h+a,h-a:,h,a:
ヒ,h+i,h-i,h,i
ヒー,h+i,h-i:,h,i:
フ,f+u,f-u,f,u
フー,f+u,f-u:,f,u:
ヘ,h+e,h-e,h,e
ヘー,h+e,h-e:,h,e:
ホ,h+o,h-o,h,o
ホー,h+o,h-o:,h,o:
バ,b+a,b-a,b,a
バー,b+a,b-a:,b,a:
ビ,b+i,b-i,b,i
ビー,b+i,b-i:,b,i:
ブ,b+u,b-u,b,u
ブー,b+u,b-u:,b,u:
ベ,b+e,b-e,b,e
ベー,b+e,b-e:,b,e:
ボ,b+o,b-o,b,o
ボー,b+o,b-o:,b,o:
パ,p+a,p-a,p,a
パー,p+a,p-a:,p,a:
ピ,p+i,p-i,p,i
ピー,p+i,p-i:,p,i:
プ,p+u,p-u,p,u
プー,p+u,p-u:,p,u:
ペ,p+e,p-e,p,e
ペー,p+e,p-e:,p,e:
ポ,p+o,p-o,p,o
ポー,p+o,p-o:,p,o:
ヒャ,hy+a,y-a,hy,a
ヒャー,hy+a,y-a:,hy,a:
ヒュ,hy+u,y-u,hy,u
ヒュー,hy+u,y-u:,hy,u:
ヒェ,hy+e,y-e,hy,e
ヒェー,hy+e,y-e:,hy,e:
ヒョ,hy+o,y-o,hy,o
ヒョー,hy+o,y-o:,hy,o:
ビャ,by+a,y-a,by,a
ビャー,by+a,y-a:,by,a:
ビュ,by+u,y-u,by,u
ビュー,by+u,y-u:,by,u:
ビェ,by+e,y-e,by,e
ビェー,by+e,y-e:,by,e:
ビョ,by+o,y-o,by,o
ビョー,by+o,y-o:,by,o:
ピャ,py+a,y-a,py,a
ピャー,py+a,y-a:,py,a:
ピェ,py+e,y-e,py,e
ピェー,py+e,y-e:,py,e:
ピュ,py+u,y-u,py,u
ピュー,py+u,y-u:,py,u:
ピョ,py+o,y-o,py,o
ピョー,py+o,y-o:,py,o:
ファ,f+a,f-a,f,a
ファー,f+a,f-a:,f,a:
フヮ,f+a,f-a,f,a
フヮー,f+a,f-a:,f,a:
フィ,f+i,f-i,f,i
フィー,f+i,f-i:,f,i:
フュ,hy+u,y-u,hy,u
フュー,hy+u,y-u:,hy,u:
フェ,f+e,f-e,f,e
フェー,f+e,f-e:,f,e:
フォ,f+o,f-o,f,o
フォー,f+o,f-o:,f,o:
ブァ,b+a,b-a,b,a
ブァー,b+a,b-a:,b,a:
ブヮ,b+a,b-a,b,a
ブヮー,b+a,b-a:,b,a:
ブィ,b+i,b-i,b,i
ブィー,b+i,b-i:,b,i:
ブェ,b+e,b-e,b,e
ブェー,b+e,b-e:,b,e:
ブォ,b+o,b-o,b,o
ブォー,b+o,b-o:,b,o:
プァ,p+a,p-a,p,a
プァー,p+a,p-a:,p,a:
プヮ,p+a,p-a,p,a
プヮー,p+a,p-a:,p,a:
プィ,p+i,p-i,p,i
プィー,p+i,p-i:,p,i:
プェ,p+e,p-e,p,e
プェー,p+e,p-e:,p,e:
プォ,p+o,p-o,p,o
プォー,p+o,p-o:,p,o:
マ,m+a,m-a,m,a
マー,m+a,m-a:,m,a:
ミ,m+i,m-i,m,i
ミー,m+i,m-i:,m,i:
ム,m+u,m-u,m,u
ムー,m+u,m-u:,m,u:
メ,m+e,m-e,m,e
メー,m+e,m-e:,m,e:
モ,m+o,m-o,m,o
モー,m+o,m-o:,m,o:
ミャ,my+a,y-a,my,a
ミャー,my+a,y-a:,my,a:
ミュ,my+u,y-u,my,u
ミュー,my+u,y-u:,my,u:
ミェ,my+e,y-e,my,e
ミェー,my+e,y-e:,my,e:
ミョ,my+o,y-o,my,o
ミョー,my+o,y-o:,my,o:
ムァ,m+a,m-a,m,a
ムァー,m+a,m-a:,m,a:
ムヮ,m+a,m-a,m,a
ムヮー,m+a,m-a:,m,a:
ムィ,m+i,m-i,m,i
ムィー,m+i,m-i:,m,i:
ムェ,m+e,m-e,m,e
ムェー,m+e,m-e:,m,e:
ムォ,m+o,m-o,m,o
ムォー,m+o,m-o:,m,o:
ヤ,y+a,y-a,y,a
ヤー,y+a,y-a:,y,a:
ユ,y+u,y-u,y,u
ユー,y+u,y-u:,y,u:
イェ,y+e,y-e,y,e
イェー,y+e,y-e:,y,e:
ヨ,y+o,y-o,y,o
ヨー,y+o,y-o:,y,o:
ラ,r+a,r-a,r,a
ラー,r+a,r-a:,r,a:
リ,r+i,r-i,r,i
リー,r+i,r-i:,r,i:
ル,r+u,r-u,r,u
ルー,r+u,r-u:,r,u:
レ,r+e,r-e,r,e
レー,r+e,r-e:,r,e:
ロ,r+o,r-o,r,o
ロー,r+o,r-o:,r,o:
リャ,ry+a,y-a,ry,a
リャー,ry+a,y-a:,ry,a:
リュ,ry+u,y-u,ry,u
リュー,ry+u,y-u:,ry,u:
リェ,ry+e,y-e,ry,e
リェー,ry+e,y-e:,ry,e:
リョ,ry+o,y-o,ry,o
リョー,ry+o,y-o:,ry,o:
ワ,w+a,w-a,w,a
ワー,w+a,w-a:,w,a:
ヲ,sp,o,sp,o
ヲー,sp,o:,sp,o:
ヴァ,b+a,b-a,b,a
ヴァー,b+a,b-a:,b,a:
ヴヮ,b+a,b-a,b,a
ヴヮー,b+a,b-a:,b,a:
ヴィ,b+i,b-i,b,i
ヴィー,b+i,b-i:,b,i:
ヴ,b+u,b-u,b,u
ヴー,b+u,b-u:,b,u:
ヴェ,b+e,b-e,b,e
ヴェー,b+e,b-e:,b,e:
ヴォ,b+o,b-o,b,o
ヴォー,b+o,b-o:,b,o:
